gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
6011132911	6dce0193-6341-4eda-adcf-9d3ff9c857b0	17e3fb37-510d-4de5-8899-96858e8d7690	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Bewl Water (NE section)	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	51.067103	0.403496	707.1						1993-03-27	27	3	1993	8179907	8179907	HUMAN_OBSERVATION		876					CC_BY_4_0	British Bryological Society	Newman,  D.A.			2026-04-14T08:29:10.992Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
6011132539	6dce0193-6341-4eda-adcf-9d3ff9c857b0	16ab9d54-daa5-48a8-a39a-f4b654d6b66a	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Henley-in-Arden area	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	52.28294	-1.781541	7071.1										8179907	8179907	HUMAN_OBSERVATION		8					CC_BY_4_0	British Bryological Society	Laflin,  T.		native	2026-04-14T08:30:00.563Z		CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_MISMATCH;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
6011129683	6dce0193-6341-4eda-adcf-9d3ff9c857b0	23b71dea-b4fe-4084-b15a-ac7240409bc8	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Fewston Reservoir	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	53.986258	-1.734611	707.1						2003-10-07	7	10	2003	8179907	8179907	HUMAN_OBSERVATION		771					CC_BY_4_0	British Bryological Society	Hodgetts,  N.G.			2026-04-14T08:30:05.204Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
6011125050	6dce0193-6341-4eda-adcf-9d3ff9c857b0	91856283-7780-4112-ac80-eaa501dc1850	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Langham Pond	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	51.442586	-0.555354	707.1						1980-08-16	16	8	1980	8179907	8179907	HUMAN_OBSERVATION		8					CC_BY_4_0	British Bryological Society	Gardiner,  J.C.		native	2026-04-14T08:30:54.113Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
6011122504	6dce0193-6341-4eda-adcf-9d3ff9c857b0	32113845-8c9e-4e9c-89c8-abc32b8df69f	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Gatton Manor Hotel	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	51.134733	-0.393462	707.1						1978-09-20	20	9	1978	8179907	8179907	HUMAN_OBSERVATION		8					CC_BY_4_0	British Bryological Society	Gardiner,  J.C.		native	2026-04-14T08:30:41.635Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
6011121428	6dce0193-6341-4eda-adcf-9d3ff9c857b0	868e3819-93b7-48fe-b154-2fc9cdf99fd5	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB		England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	51.741014	-1.204848	7071.1										8179907	8179907	HUMAN_OBSERVATION		8					CC_BY_4_0	British Bryological Society			native	2026-04-14T08:31:24.741Z		CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
6011120215	6dce0193-6341-4eda-adcf-9d3ff9c857b0	7ac13ecd-26c3-4f78-ab2a-2910e004dc49	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Sutton Bingham Reservoir (north-west)	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	50.901172	-2.64841	707.1						2020-09-09	9	9	2020	8179907	8179907	HUMAN_OBSERVATION		1193					CC_BY_4_0	British Bryological Society	Branson,  A.J.P.			2026-04-14T08:31:26.150Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
6011117110	6dce0193-6341-4eda-adcf-9d3ff9c857b0	cc684f6c-7baf-4495-86e6-103090225e9b	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Kingfisher's Bridge Wetland	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	52.337532	0.258208	70.7						2019-08-11	11	8	2019	8179907	8179907	HUMAN_OBSERVATION		1193					CC_BY_4_0	British Bryological Society	Preston,  C.D.			2026-04-14T08:31:36.275Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
6011114322	6dce0193-6341-4eda-adcf-9d3ff9c857b0	b4fecef2-3a56-462e-8427-bbc580bf5306	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Loxley Wood	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	51.135532	-2.848856	7.1						2014-10-09	9	10	2014	8179907	8179907	HUMAN_OBSERVATION		1027					CC_BY_4_0	British Bryological Society	Pilkington,  S.L.			2026-04-14T08:30:27.823Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
6011109648	6dce0193-6341-4eda-adcf-9d3ff9c857b0	f4a351a3-c744-44e3-9542-c94ff64d7d6e	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium	Physcomitrium patens		SPECIES	Physcomitrium patens (Hedw.) Mitt.	Physcomitrium patens	(Hedw.) Mitt.	GB	Maer lake	England	PRESENT		32f1b389-5871-4da3-832f-9a89132520c5	50.839116	-4.550746	707.1						2018-07-04	4	7	2018	8179907	8179907	HUMAN_OBSERVATION		1193					CC_BY_4_0	British Bryological Society	Stribley,  M.J.			2026-04-14T08:30:35.041Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
